,Diseases,Number of times a disease occurred in polygenic risk score's related articles
43574,Dipeptidase 1 level in Chronic kidney disease with hypertension and no diabetes (10528_2),0
43575,Proteasome subunit beta type-6 level in Chronic kidney disease with hypertension and no diabetes (10530_8),0
43576,GTPase NRas level in Chronic kidney disease with hypertension and no diabetes (10531_18),0
43577,Pulmonary surfactant-associated protein B level in Chronic kidney disease with hypertension and no diabetes (10672_75),0
43578,Killer cell lectin-like receptor subfamily G member 2 level in Chronic kidney disease with hypertension and no diabetes (10693_43),0
43579,Protein WFDC10B level in Chronic kidney disease with hypertension and no diabetes (10695_12),0
43580,Prolow-density lipoprotein receptor-related protein 1 level in Chronic kidney disease with hypertension and no diabetes (10699_52),0
43581,Immunoglobulin superfamily member 11 level in Chronic kidney disease with hypertension and no diabetes (10700_10),0
43582,Collagen alpha-1(XXVIII) chain level in Chronic kidney disease with hypertension and no diabetes (10702_1),0
43583,Lymphoid-restricted membrane protein level in Chronic kidney disease with hypertension and no diabetes (10704_91),0
43584,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 level in Chronic kidney disease with hypertension and no diabetes (10705_14)",0
43585,F-box only protein 3 level in Chronic kidney disease with hypertension and no diabetes (14628_72),0
43586,Dual specificity protein phosphatase 16 level in Chronic kidney disease with hypertension and no diabetes (14631_22),0
43587,Transmembrane protein 185A level in Chronic kidney disease with hypertension and no diabetes (14633_26),0
43588,Lutropin-choriogonadotropic hormone receptor level in Chronic kidney disease with hypertension and no diabetes (14634_13),0
43589,Ribonuclease UK114 level in Chronic kidney disease with hypertension and no diabetes (14636_25),0
43590,Glutathione S-transferase A4 level in Chronic kidney disease with hypertension and no diabetes (14645_253),0
43591,DnaJ homolog subfamily C member 17 level in Chronic kidney disease with hypertension and no diabetes (14655_1),0
43592,Myeloid zinc finger 1 level in Chronic kidney disease with hypertension and no diabetes (14662_6),0
43593,E3 ubiquitin-protein ligase RNF8 level in Chronic kidney disease with hypertension and no diabetes (14663_44),0
43594,Ski-like protein level in Chronic kidney disease with hypertension and no diabetes (14670_1),0
43595,Protein kinase C and casein kinase substrate in neurons protein 3 level in Chronic kidney disease with hypertension and no diabetes (14674_63),0
43596,Eukaryotic translation initiation factor 4B level in Chronic kidney disease with hypertension and no diabetes (14675_20),0
43597,Calpain-2 catalytic subunit level in Chronic kidney disease with hypertension and no diabetes (14684_17),0
43598,RAC-beta serine/threonine-protein kinase level in Chronic kidney disease with hypertension and no diabetes (14685_17),0
43599,Perilipin-3 level in Chronic kidney disease with hypertension and no diabetes (14687_6),0
43600,Tyrosine-protein phosphatase non-receptor type 7 level in Chronic kidney disease with hypertension and no diabetes (14688_6),0
43601,Protein SEC13 homolog level in Chronic kidney disease with hypertension and no diabetes (14689_3),0
43602,Poly [ADP-ribose] polymerase 1 level in Chronic kidney disease with hypertension and no diabetes (10534_40),0
43603,CD99 antigen-like protein 2 level in Chronic kidney disease with hypertension and no diabetes (10539_30),0
43604,Thrombospondin-type laminin G domain and EAR repeat-containing protein level in Chronic kidney disease with hypertension and no diabetes (10546_2),0
43605,Bone morphogenetic protein receptor type-1B level in Chronic kidney disease with hypertension and no diabetes (10550_37),0
43606,Linker for activation of T-cells family member 1 level in Chronic kidney disease with hypertension and no diabetes (10551_7),0
43607,NKG2-F type II integral membrane protein level in Chronic kidney disease with hypertension and no diabetes (10552_88),0
43608,Torsin-1A-interacting protein 2 level in Chronic kidney disease with hypertension and no diabetes (10553_8),0
43609,Testis-expressed sequence 29 protein level in Chronic kidney disease with hypertension and no diabetes (10557_6),0
43610,Protocadherin-9 level in Chronic kidney disease with hypertension and no diabetes (10558_26),0
43611,Integral membrane protein 2C level in Chronic kidney disease with hypertension and no diabetes (10560_1),0
43612,Peptidoglycan recognition protein 3 level in Chronic kidney disease with hypertension and no diabetes (10561_5),0
43613,Neuropilin and tolloid-like protein 2 level in Chronic kidney disease with hypertension and no diabetes (10562_42),0
43614,LysM and putative peptidoglycan-binding domain-containing protein 3 level in Chronic kidney disease with hypertension and no diabetes (10563_13),0
43615,SLIT and NTRK-like protein 3 level in Chronic kidney disease with hypertension and no diabetes (10565_19),0
43616,Microfibrillar-associated protein 2 level in Chronic kidney disease with hypertension and no diabetes (10569_28),0
43617,"Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase level in Chronic kidney disease with hypertension and no diabetes (10571_14)",0
43618,Cystatin-8 level in Chronic kidney disease with hypertension and no diabetes (10572_65),0
43619,Beta-2-microglobulin level in Chronic kidney disease with hypertension and no diabetes (10574_10),0
43620,Poly(U)-binding-splicing factor PUF60 level in Chronic kidney disease with hypertension and no diabetes (10575_31),0
43621,Plexin domain-containing protein 2 level in Chronic kidney disease with hypertension and no diabetes (10576_7),0
43622,Surfactant-associated protein 2 level in Chronic kidney disease with hypertension and no diabetes (10580_14),0
43623,"NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial level in Chronic kidney disease with hypertension and no diabetes (10584_7)",0
43624,"Lactosylceramide alpha-2,3-sialyltransferase level in Chronic kidney disease with hypertension and no diabetes (10588_39)",0
43625,Retinoic acid early transcript 1L protein level in Chronic kidney disease with hypertension and no diabetes (10589_7),0
43626,Histatin-3 level in Chronic kidney disease with hypertension and no diabetes (10603_1),0
43627,Adipocyte plasma membrane-associated protein level in Chronic kidney disease with hypertension and no diabetes (10605_22),0
43628,Torsin-1A-interacting protein 1 level in Chronic kidney disease with hypertension and no diabetes (10606_34),0
43629,Histatin-1 level in Chronic kidney disease with hypertension and no diabetes (10608_9),0
43630,"Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 level in Chronic kidney disease with hypertension and no diabetes (10612_18)",0
43631,Protein CASC4 level in Chronic kidney disease with hypertension and no diabetes (10613_33),0
43632,Myelin protein P0 level in Chronic kidney disease with hypertension and no diabetes (10615_18),0
43633,Podocalyxin-like protein 2 level in Chronic kidney disease with hypertension and no diabetes (10616_67),0
43634,Low-density lipoprotein receptor-related protein 2 level in Chronic kidney disease with hypertension and no diabetes (10618_190),0
43635,Beta-microseminoprotein level in Chronic kidney disease with hypertension and no diabetes (10620_21),0
43636,Protein Largen level in Chronic kidney disease with hypertension and no diabetes (10621_26),0
43637,Mucin-1 level in Chronic kidney disease with hypertension and no diabetes (10623_19),0
43638,Serine protease inhibitor Kazal-type 13 level in Chronic kidney disease with hypertension and no diabetes (10624_45),0
43639,"Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 3 level in Chronic kidney disease with hypertension and no diabetes (10626_116)",0
43640,Amyloid-like protein 2 level in Chronic kidney disease with hypertension and no diabetes (10627_87),0
43641,Oxidoreductase HTATIP2 level in Chronic kidney disease with hypertension and no diabetes (10630_5),0
43642,Membrane-associated progesterone receptor component 2 level in Chronic kidney disease with hypertension and no diabetes (10631_9),0
43643,Cell surface glycoprotein CD200 receptor 1 level in Chronic kidney disease with hypertension and no diabetes (10636_1),0
43644,UPF0577 protein KIAA1324 level in Chronic kidney disease with hypertension and no diabetes (10637_50),0
43645,TERF1-interacting nuclear factor 2 level in Chronic kidney disease with hypertension and no diabetes (10638_1),0
43646,Noelin-3 level in Chronic kidney disease with hypertension and no diabetes (10643_16),0
43647,Activating signal cointegrator 1 complex subunit 1 level in Chronic kidney disease with hypertension and no diabetes (10647_18),0
43648,Insulin-induced gene 1 protein level in Chronic kidney disease with hypertension and no diabetes (10663_42),0
43649,N-acetylglucosamine-1-phosphotransferase subunit gamma level in Chronic kidney disease with hypertension and no diabetes (10666_7),0
43650,Uncharacterized protein C1orf185 level in Chronic kidney disease with hypertension and no diabetes (10667_78),0
43651,Syntaxin-4 level in Chronic kidney disease with hypertension and no diabetes (10668_5),0
43652,Ephrin type-A receptor 3 level in Chronic kidney disease with hypertension and no diabetes (3432_21),0
43653,Follistatin-related protein 3 level in Chronic kidney disease with hypertension and no diabetes (3438_10),0
43654,Granzyme A level in Chronic kidney disease with hypertension and no diabetes (3440_7),0
43655,Glycogen synthase kinase-3 alpha level in Chronic kidney disease with hypertension and no diabetes (3441_64),0
43656,Interleukin-15 receptor subunit alpha level in Chronic kidney disease with hypertension and no diabetes (3445_53),0
43657,Interleukin-18 receptor 1 level in Chronic kidney disease with hypertension and no diabetes (3446_7),0
43658,Interleukin-8 level in Chronic kidney disease with hypertension and no diabetes (3447_64),0
43659,Insulin receptor level in Chronic kidney disease with hypertension and no diabetes (3448_13),0
43660,Kallistatin level in Chronic kidney disease with hypertension and no diabetes (3449_58),0
43661,Kallikrein-6 level in Chronic kidney disease with hypertension and no diabetes (3450_4),0
43662,Tyrosine-protein kinase Lck level in Chronic kidney disease with hypertension and no diabetes (3452_17),0
43663,Tyrosine-protein kinase Lyn level in Chronic kidney disease with hypertension and no diabetes (3453_87),0
43664,Periostin level in Chronic kidney disease with hypertension and no diabetes (3457_57),0
43665,Platelet-derived growth factor receptor beta level in Chronic kidney disease with hypertension and no diabetes (3459_49),0
43666,Brevican core protein level in Chronic kidney disease with hypertension and no diabetes (3461_58),0
43667,cAMP-dependent protein kinase catalytic subunit alpha level in Chronic kidney disease with hypertension and no diabetes (3466_8),0
43668,Ribosomal protein S6 kinase alpha-3 level in Chronic kidney disease with hypertension and no diabetes (3469_74),0
43669,E-selectin level in Chronic kidney disease with hypertension and no diabetes (3470_1),0
43670,Serine/threonine-protein kinase 16 level in Chronic kidney disease with hypertension and no diabetes (3471_49),0
43671,Baculoviral IAP repeat-containing protein 5 level in Chronic kidney disease with hypertension and no diabetes (3472_40),0
43672,Thrombopoietin Receptor level in Chronic kidney disease with hypertension and no diabetes (3473_78),0
43673,High affinity nerve growth factor receptor level in Chronic kidney disease with hypertension and no diabetes (3477_63),0
43674,Trypsin-3 level in Chronic kidney disease with hypertension and no diabetes (3479_71),0
43675,Dual specificity protein phosphatase 3 level in Chronic kidney disease with hypertension and no diabetes (3480_7),0
43676,Xaa-Pro aminopeptidase 1 level in Chronic kidney disease with hypertension and no diabetes (3481_87),0
43677,Serine/threonine-protein kinase PAK 5 level in Chronic kidney disease with hypertension and no diabetes (3388_58),0
43678,PIK3CA/PIK3R1 level in Chronic kidney disease with hypertension and no diabetes (3390_72),0
43679,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform level in Chronic kidney disease with hypertension and no diabetes (3391_10)",0
43680,Protein kinase B gamma level in Chronic kidney disease with hypertension and no diabetes (3392_68),0
43681,Serine/threonine-protein kinase PLK1 level in Chronic kidney disease with hypertension and no diabetes (3394_81),0
43682,Renin level in Chronic kidney disease with hypertension and no diabetes (3396_54),0
43683,Tyrosine-protein phosphatase non-receptor type 11 level in Chronic kidney disease with hypertension and no diabetes (3397_7),0
43684,Stabilin-2 level in Chronic kidney disease with hypertension and no diabetes (3399_31),0
43685,Tyrosine-protein phosphatase non-receptor type 2 level in Chronic kidney disease with hypertension and no diabetes (3401_8),0
43686,Tryptase beta-2 level in Chronic kidney disease with hypertension and no diabetes (3403_1),0
43687,Tryptase gamma level in Chronic kidney disease with hypertension and no diabetes (3404_51),0
43688,Ubiquitin-fold modifier-conjugating enzyme 1 level in Chronic kidney disease with hypertension and no diabetes (3405_6),0
43689,Apoptosis regulator Bcl-2 level in Chronic kidney disease with hypertension and no diabetes (3412_7),0
43690,Bcl-2-related protein A1 level in Chronic kidney disease with hypertension and no diabetes (3413_50),0
43691,Cytoplasmic tyrosine-protein kinase BMX level in Chronic kidney disease with hypertension and no diabetes (3414_40),0
43692,Bone sialoprotein 2 level in Chronic kidney disease with hypertension and no diabetes (3415_61),0
43693,Tyrosine-protein kinase BTK level in Chronic kidney disease with hypertension and no diabetes (3416_2),0
43694,Calcium/calmodulin-dependent protein kinase type 1D level in Chronic kidney disease with hypertension and no diabetes (3418_12),0
43695,Calcium/calmodulin-dependent protein kinase type II subunit delta level in Chronic kidney disease with hypertension and no diabetes (3419_49),0
43696,Carbonic anhydrase 13 level in Chronic kidney disease with hypertension and no diabetes (3420_21),0
43697,Tumor necrosis factor ligand superfamily member 8 level in Chronic kidney disease with hypertension and no diabetes (3421_54),0
43698,Cyclin-dependent kinase 1:G2/mitotic-specific cyclin-B1 complex level in Chronic kidney disease with hypertension and no diabetes (3422_4),0
43699,Chymase level in Chronic kidney disease with hypertension and no diabetes (3423_59),0
43700,Casein kinase II subunit alpha level in Chronic kidney disease with hypertension and no diabetes (3427_63),0
43701,Ephrin type-A receptor 1 level in Chronic kidney disease with hypertension and no diabetes (3431_54),0
43702,UBE2N/UBE2V2 Complex level in Chronic kidney disease with hypertension and no diabetes (21756_5),0
43703,Ubiquitin carboxyl-terminal hydrolase 22 level in Chronic kidney disease with hypertension and no diabetes (21757_49),0
43704,Sentrin-specific protease 2 level in Chronic kidney disease with hypertension and no diabetes (21758_65),0
43705,UBP1/WDR48 Complex level in Chronic kidney disease with hypertension and no diabetes (21759_23),0
43706,Ubiquitin-activating enzyme E1 level in Chronic kidney disease with hypertension and no diabetes (21760_22),0
43707,Ubiquitin carboxyl-terminal hydrolase 46 level in Chronic kidney disease with hypertension and no diabetes (21761_213),0
43708,Ubiquitin carboxyl-terminal hydrolase 11 level in Chronic kidney disease with hypertension and no diabetes (21762_32),0
43709,Ubiquitin carboxyl-terminal hydrolase 4 level in Chronic kidney disease with hypertension and no diabetes (21763_46),0
43710,Ubiquitin carboxyl-terminal hydrolase 30 level in Chronic kidney disease with hypertension and no diabetes (21764_99),0
43711,Ubiquitin carboxyl-terminal hydrolase CYLD level in Chronic kidney disease with hypertension and no diabetes (21765_10),0
43712,N-sulphoglucosamine sulphohydrolase level in Chronic kidney disease with hypertension and no diabetes (21766_50),0
43713,Polypeptide N-acetylgalactosaminyltransferase 14 level in Chronic kidney disease with hypertension and no diabetes (21767_129),0
43714,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A level in Chronic kidney disease with hypertension and no diabetes (21768_9)",0
43715,Xylulose kinase level in Chronic kidney disease with hypertension and no diabetes (21769_10),0
43716,Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 level in Chronic kidney disease with hypertension and no diabetes (21770_18),0
43717,"Beta-1,4-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase level in Chronic kidney disease with hypertension and no diabetes (21771_47)",0
43718,Protein ABHD4 level in Chronic kidney disease with hypertension and no diabetes (21780_15),0
43719,Aspartoacylase-2 level in Chronic kidney disease with hypertension and no diabetes (21781_9),0
43720,Cyclin-dependent kinase-like 2 level in Chronic kidney disease with hypertension and no diabetes (21786_25),0
43721,FGFR1 oncogene partner level in Chronic kidney disease with hypertension and no diabetes (21793_4),0
43722,Glutathione peroxidase 3 level in Chronic kidney disease with hypertension and no diabetes (21796_43),0
43723,HLA-C level in Chronic kidney disease with hypertension and no diabetes (21797_4),0
43724,Homer protein homolog 3 level in Chronic kidney disease with hypertension and no diabetes (21799_15),0
43725,Putative KHDC1-like protein level in Chronic kidney disease with hypertension and no diabetes (21804_15),0
43726,MART-1 level in Chronic kidney disease with hypertension and no diabetes (21810_50),0
43727,Zinc finger protein 276 level in Chronic kidney disease with hypertension and no diabetes (14692_3),0
43728,Tryptase beta-2 level in Chronic kidney disease with hypertension and no diabetes (14696_45),0
43729,Vascular endothelial growth factor D level in Chronic kidney disease with hypertension and no diabetes (14705_1),0
43730,Complement component C8 gamma chain level in Chronic kidney disease with hypertension and no diabetes (14708_59),0
43731,Cystatin-M level in Chronic kidney disease with hypertension and no diabetes (14711_27),0
43732,Azurocidin level in Chronic kidney disease with hypertension and no diabetes (14713_46),0
43733,Cytokine receptor-like factor 1 level in Chronic kidney disease with hypertension and no diabetes (14747_9),0
43734,Rho GTPase-activating protein 5 level in Chronic kidney disease with hypertension and no diabetes (14748_31),0
43735,Lactotransferrin level in Chronic kidney disease with hypertension and no diabetes (14755_4),0
43736,Intercellular adhesion molecule 2 level in Chronic kidney disease with hypertension and no diabetes (14756_29),0
43737,Cadherin-1 level in Chronic kidney disease with hypertension and no diabetes (14759_149),0
43738,Neuropilin and tolloid-like protein 1 level in Chronic kidney disease with hypertension and no diabetes (15298_199),0
43739,LDLR chaperone MESD level in Chronic kidney disease with hypertension and no diabetes (15299_102),0
43740,Coiled-coil domain-containing protein 134 level in Chronic kidney disease with hypertension and no diabetes (15300_66),0
43741,Protein S100-A5 level in Chronic kidney disease with hypertension and no diabetes (15303_63),0
43742,Regenerating islet-derived protein 3-alpha level in Chronic kidney disease with hypertension and no diabetes (15304_1),0
43743,Secretagogin level in Chronic kidney disease with hypertension and no diabetes (15305_7),0
43744,Immunoglobulin J chain level in Chronic kidney disease with hypertension and no diabetes (15306_20),0
43745,Brorin level in Chronic kidney disease with hypertension and no diabetes (15308_108),0
43746,Protein regulator of cytokinesis 1 level in Chronic kidney disease with hypertension and no diabetes (15310_61),0
43747,Protein argonaute-1 level in Chronic kidney disease with hypertension and no diabetes (15312_14),0
43748,Mitotic spindle assembly checkpoint protein MAD2A level in Chronic kidney disease with hypertension and no diabetes (15313_28),0
43749,Chloride intracellular channel protein 4 level in Chronic kidney disease with hypertension and no diabetes (15314_49),0
43750,Copper homeostasis protein cutC homolog level in Chronic kidney disease with hypertension and no diabetes (15315_64),0
43751,Thioredoxin-like protein 4B level in Chronic kidney disease with hypertension and no diabetes (15316_262),0
43752,Endothelin-3 level in Chronic kidney disease with hypertension and no diabetes (15383_200),0
43753,Klotho level in Chronic kidney disease with hypertension and no diabetes (15384_15),0
43754,"Fatty acid-binding protein, intestinal level in Chronic kidney disease with hypertension and no diabetes (15385_116)",0
43755,"Fatty acid-binding protein, adipocyte level in Chronic kidney disease with hypertension and no diabetes (15386_7)",0
43756,Neuropilin-2 level in Chronic kidney disease with hypertension and no diabetes (15387_44),0
43757,Low affinity immunoglobulin gamma Fc region receptor III-A level in Chronic kidney disease with hypertension and no diabetes (15388_24),0
43758,"Frataxin, mitochondrial level in Chronic kidney disease with hypertension and no diabetes (15389_1)",0
43759,Growth arrest-specific protein 6 level in Chronic kidney disease with hypertension and no diabetes (15391_114),0
43760,Netrin receptor UNC5B level in Chronic kidney disease with hypertension and no diabetes (15394_79),0
43761,Glutathione S-transferase Mu 1 level in Chronic kidney disease with hypertension and no diabetes (15395_15),0
43762,FAD-linked sulfhydryl oxidase ALR level in Chronic kidney disease with hypertension and no diabetes (15398_2),0
43763,DNA-binding protein inhibitor ID-1 level in Chronic kidney disease with hypertension and no diabetes (15402_2),0
43764,DNA-binding protein inhibitor ID-2 level in Chronic kidney disease with hypertension and no diabetes (15403_53),0
43765,Interferon alpha-21 level in Chronic kidney disease with hypertension and no diabetes (15404_3),0
43766,Interferon alpha-4 level in Chronic kidney disease with hypertension and no diabetes (15405_23),0
43767,Baculoviral IAP repeat-containing protein 7 level in Chronic kidney disease with hypertension and no diabetes (15412_40),0
43768,Phosphatidylcholine-sterol acyltransferase level in Chronic kidney disease with hypertension and no diabetes (15413_3),0
43769,L-lactate dehydrogenase A chain level in Chronic kidney disease with hypertension and no diabetes (15414_316),0
43770,Serpin B5 level in Chronic kidney disease with hypertension and no diabetes (15417_3),0
43771,Mitogen-activated protein kinase 10 level in Chronic kidney disease with hypertension and no diabetes (15418_25),0
43772,Matrix metalloproteinase-20 level in Chronic kidney disease with hypertension and no diabetes (15419_15),0
43773,Sialidase-1 level in Chronic kidney disease with hypertension and no diabetes (15426_5),0
43774,Lysyl oxidase homolog 3 level in Chronic kidney disease with hypertension and no diabetes (15427_35),0
43775,"Ornithine carbamoyltransferase, mitochondrial level in Chronic kidney disease with hypertension and no diabetes (15431_31)",0
43776,Otoraplin level in Chronic kidney disease with hypertension and no diabetes (15432_1),0
43777,Nucleolar protein of 40 kDa level in Chronic kidney disease with hypertension and no diabetes (21811_20),0
43778,"Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase A level in Chronic kidney disease with hypertension and no diabetes (21813_171)",0
43779,"Methylmalonic aciduria and homocystinuria type D protein, mitochondrial level in Chronic kidney disease with hypertension and no diabetes (21814_13)",0
43780,MOB kinase activator 3B level in Chronic kidney disease with hypertension and no diabetes (21815_7),0
43781,Negative elongation factor E level in Chronic kidney disease with hypertension and no diabetes (21819_9),0
43782,Protein phosphatase 1G level in Chronic kidney disease with hypertension and no diabetes (21823_5),0
43783,Rho-related GTP-binding protein RhoQ level in Chronic kidney disease with hypertension and no diabetes (21827_7),0
43784,Ribophorin II level in Chronic kidney disease with hypertension and no diabetes (21828_6),0
43785,40S ribosomal protein S12 level in Chronic kidney disease with hypertension and no diabetes (21829_8),0
43786,Complement C4b level in Chronic kidney disease with hypertension and no diabetes (2182_54),0
43787,Squamous cell carcinoma antigen 1 level in Chronic kidney disease with hypertension and no diabetes (21832_31),0
43788,silent mating type information regulation 2 homolog level in Chronic kidney disease with hypertension and no diabetes (21833_6),0
43789,Somatostatin receptor type 1 level in Chronic kidney disease with hypertension and no diabetes (21836_9),0
43790,Translocon-associated protein subunit beta level in Chronic kidney disease with hypertension and no diabetes (21837_3),0
43791,POU domain class 2-associating factor 1 level in Chronic kidney disease with hypertension and no diabetes (21839_3),0
43792,Ubiquitin-conjugating enzyme E2 R2 level in Chronic kidney disease with hypertension and no diabetes (21848_18),0
43793,Ubiquilin-3 level in Chronic kidney disease with hypertension and no diabetes (21849_2),0
43794,Ketohexokinase level in Chronic kidney disease with hypertension and no diabetes (21856_59),0
43795,Guanine nucleotide-binding protein subunit beta-2-like 1 level in Chronic kidney disease with hypertension and no diabetes (21857_26),0
43796,E3 ubiquitin-protein ligase SIAH1 level in Chronic kidney disease with hypertension and no diabetes (21858_25),0
43797,Proteasome subunit beta type-10 level in Chronic kidney disease with hypertension and no diabetes (21861_8),0
43798,LIM and SH3 domain protein 1 level in Chronic kidney disease with hypertension and no diabetes (21862_145),0
43799,Cytosolic Fe-S cluster assembly factor NUBP2 level in Chronic kidney disease with hypertension and no diabetes (21863_11),0
43800,AN1-type zinc finger protein 3 level in Chronic kidney disease with hypertension and no diabetes (21875_31),0
43801,PRKCA-binding protein level in Chronic kidney disease with hypertension and no diabetes (21876_266),0
43802,Protein S100-A10 level in Chronic kidney disease with hypertension and no diabetes (15318_75),0
43803,Cyclin-A1 level in Chronic kidney disease with hypertension and no diabetes (15319_226),0
43804,Complexin-2 level in Chronic kidney disease with hypertension and no diabetes (15321_8),0
43805,Death domain-containing protein CRADD level in Chronic kidney disease with hypertension and no diabetes (15322_35),0
43806,Protein argonaute-3 level in Chronic kidney disease with hypertension and no diabetes (15323_112),0
43807,Ferritin light chain level in Chronic kidney disease with hypertension and no diabetes (15324_58),0
43808,Neuromodulin level in Chronic kidney disease with hypertension and no diabetes (15325_14),0
43809,Guanylate-binding protein 1 level in Chronic kidney disease with hypertension and no diabetes (15326_64),0
43810,Ragulator complex protein LAMTOR2 level in Chronic kidney disease with hypertension and no diabetes (15329_167),0
43811,Stromal cell-derived factor 2 level in Chronic kidney disease with hypertension and no diabetes (15333_11),0
43812,Selenoprotein M level in Chronic kidney disease with hypertension and no diabetes (15336_7),0
43813,Interferon gamma level in Chronic kidney disease with hypertension and no diabetes (15346_31),0
43814,Hemopexin level in Chronic kidney disease with hypertension and no diabetes (15347_12),0
43815,Neuroendocrine protein 7B2 level in Chronic kidney disease with hypertension and no diabetes (15358_28),0
43816,Ankyrin repeat domain-containing protein 1 level in Chronic kidney disease with hypertension and no diabetes (15361_37),0
43817,Apolipoprotein A-V level in Chronic kidney disease with hypertension and no diabetes (15363_32),0
43818,Apolipoprotein C-I level in Chronic kidney disease with hypertension and no diabetes (15364_101),0
43819,Adhesion G protein-coupled receptor B3 level in Chronic kidney disease with hypertension and no diabetes (15365_41),0
43820,BMP-binding endothelial regulator protein level in Chronic kidney disease with hypertension and no diabetes (15368_3),0
43821,BolA-like protein 1 level in Chronic kidney disease with hypertension and no diabetes (15370_5),0
43822,Bromodomain-containing protein 2 level in Chronic kidney disease with hypertension and no diabetes (15372_43),0
43823,Gastrokine-1 level in Chronic kidney disease with hypertension and no diabetes (15374_15),0
43824,Carboxypeptidase B level in Chronic kidney disease with hypertension and no diabetes (15375_49),0
43825,Cathepsin E level in Chronic kidney disease with hypertension and no diabetes (15376_134),0
43826,Discoidin domain-containing receptor 2 level in Chronic kidney disease with hypertension and no diabetes (15381_45),0
43827,Proto-oncogene tyrosine-protein kinase Src level in Chronic kidney disease with hypertension and no diabetes (15433_4),0
43828,Prepronociceptin level in Chronic kidney disease with hypertension and no diabetes (15434_5),0
43829,Purine nucleoside phosphorylase level in Chronic kidney disease with hypertension and no diabetes (15435_4),0
43830,Receptor activity-modifying protein 1 level in Chronic kidney disease with hypertension and no diabetes (15436_40),0
43831,Very Late Antigen-4 level in Chronic kidney disease with hypertension and no diabetes (21688_50),0
43832,Leucine-rich repeat-containing protein 4 level in Chronic kidney disease with hypertension and no diabetes (21690_31),0
43833,Leucine-rich repeat and fibronectin type-III domain-containing protein 3 level in Chronic kidney disease with hypertension and no diabetes (21691_27),0
43834,CD8A/CD8B Complex level in Chronic kidney disease with hypertension and no diabetes (21692_12),0
43835,Cadherin-13 level in Chronic kidney disease with hypertension and no diabetes (21693_14),0
43836,Leucine-rich repeat and fibronectin type-III domain-containing protein 4 level in Chronic kidney disease with hypertension and no diabetes (21696_80),0
43837,Adhesion G-protein coupled receptor F2 level in Chronic kidney disease with hypertension and no diabetes (21697_57),0
43838,Integrin a11b1 level in Chronic kidney disease with hypertension and no diabetes (21698_11),0
43839,Protocadherin-12 level in Chronic kidney disease with hypertension and no diabetes (21704_8),0
43840,Meteorin-like protein level in Chronic kidney disease with hypertension and no diabetes (21705_33),0
43841,Leukocyte immunoglobulin-like receptor subfamily A member 1 level in Chronic kidney disease with hypertension and no diabetes (21706_29),0
43842,Complement C1q-like protein 3 level in Chronic kidney disease with hypertension and no diabetes (21707_15),0
43843,IgG receptor FcRn large subunit p51 level in Chronic kidney disease with hypertension and no diabetes (21708_149),0
43844,"Neuroligin-4, Y-linked level in Chronic kidney disease with hypertension and no diabetes (21710_16)",0
43845,Brain-specific angiogenesis inhibitor 1 level in Chronic kidney disease with hypertension and no diabetes (21711_86),0
43846,Reelin level in Chronic kidney disease with hypertension and no diabetes (21713_11),0
43847,Sentrin-specific protease 1 level in Chronic kidney disease with hypertension and no diabetes (21715_40),0
43848,"Alpha-(1,3)-fucosyltransferase level in Chronic kidney disease with hypertension and no diabetes (21716_29)",0
43849,Ubiquitin-conjugating enzyme E2 Q2 level in Chronic kidney disease with hypertension and no diabetes (21717_44),0
43850,Hyaluronidase-4 level in Chronic kidney disease with hypertension and no diabetes (21718_150),0
43851,"Alpha-(1,3)-fucosyltransferase 11 level in Chronic kidney disease with hypertension and no diabetes (21720_13)",0
43852,Carbohydrate sulfotransferase 10 level in Chronic kidney disease with hypertension and no diabetes (21721_6),0
43853,Polypeptide N-acetylgalactosaminyltransferase 4 level in Chronic kidney disease with hypertension and no diabetes (21722_21),0
43854,N-acetylgalactosamine-6-sulfatase level in Chronic kidney disease with hypertension and no diabetes (21724_22),0
43855,"Alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3-N-acetyl-galactosaminide alpha-2,6-sialyltransferase level in Chronic kidney disease with hypertension and no diabetes (21726_73)",0
43856,Ubiquitin-conjugating enzyme E2 Q1 level in Chronic kidney disease with hypertension and no diabetes (21727_15),0
43857,Ubiquitin carboxyl-terminal hydrolase 2 level in Chronic kidney disease with hypertension and no diabetes (21728_4),0
43858,Ubiquitin carboxyl-terminal hydrolase 19 level in Chronic kidney disease with hypertension and no diabetes (21730_56),0
43859,Ubiquitin-conjugating enzyme E2 Q1 level in Chronic kidney disease with hypertension and no diabetes (21732_78),0
